src_pe =           4, dst_pe =           5, direction = 10,  hop count = 001000, packet = 88450 at time 14ns
src_pe =           8, dst_pe =           4, direction = 01,  hop count = 000001, packet = 41840 at time 14ns
src_pe =          12, dst_pe =           4, direction = 01,  hop count = 000011, packet = 43c40 at time 14ns
src_pe =           2, dst_pe =           5, direction = 00,  hop count = 001001, packet = 09250 at time 14ns
src_pe =           6, dst_pe =           4, direction = 00,  hop count = 011000, packet = 18640 at time 14ns
src_pe =          10, dst_pe =           4, direction = 01,  hop count = 011001, packet = 59a40 at time 14ns
src_pe =          14, dst_pe =           4, direction = 01,  hop count = 011011, packet = 5be40 at time 14ns
src_pe =           0, dst_pe =           5, direction = 10,  hop count = 001001, packet = 89050 at time 16ns
src_pe =           3, dst_pe =           5, direction = 00,  hop count = 011001, packet = 19350 at time 16ns
src_pe =           7, dst_pe =           4, direction = 00,  hop count = 111000, packet = 38740 at time 16ns
src_pe =          11, dst_pe =           4, direction = 01,  hop count = 111001, packet = 79b40 at time 16ns
src_pe =          15, dst_pe =           4, direction = 01,  hop count = 111011, packet = 7bf40 at time 16ns
src_pe =           5, dst_pe =           6, direction = 10,  hop count = 001000, packet = 88560 at time 18ns
src_pe =           9, dst_pe =           5, direction = 01,  hop count = 000001, packet = 41950 at time 18ns
src_pe =          13, dst_pe =           5, direction = 01,  hop count = 000011, packet = 43d50 at time 18ns
src_pe =           1, dst_pe =           6, direction = 10,  hop count = 001001, packet = 89160 at time 18ns
src_pe =           2, dst_pe =           6, direction = 00,  hop count = 000001, packet = 01260 at time 18ns
src_pe =           6, dst_pe =           5, direction = 00,  hop count = 001000, packet = 08650 at time 18ns
src_pe =          10, dst_pe =           5, direction = 01,  hop count = 001001, packet = 49a50 at time 18ns
src_pe =          14, dst_pe =           5, direction = 01,  hop count = 001011, packet = 4be50 at time 18ns
src_pe =           4, dst_pe =           6, direction = 10,  hop count = 011000, packet = 98460 at time 20ns
src_pe =           8, dst_pe =           5, direction = 11,  hop count = 001001, packet = c9850 at time 20ns
src_pe =          12, dst_pe =           5, direction = 11,  hop count = 001011, packet = cbc50 at time 20ns
src_pe =           0, dst_pe =           6, direction = 10,  hop count = 011001, packet = 99060 at time 20ns
src_pe =           7, dst_pe =           5, direction = 00,  hop count = 011000, packet = 18750 at time 20ns
src_pe =          11, dst_pe =           5, direction = 01,  hop count = 011001, packet = 59b50 at time 20ns
src_pe =          15, dst_pe =           5, direction = 01,  hop count = 011011, packet = 5bf50 at time 20ns
src_pe =           3, dst_pe =           6, direction = 00,  hop count = 001001, packet = 09360 at time 22ns
src_pe =           5, dst_pe =           7, direction = 10,  hop count = 011000, packet = 98570 at time 22ns
src_pe =           9, dst_pe =           6, direction = 11,  hop count = 001001, packet = c9960 at time 22ns
src_pe =          13, dst_pe =           6, direction = 11,  hop count = 001011, packet = cbd60 at time 22ns
src_pe =           1, dst_pe =           7, direction = 10,  hop count = 011001, packet = 99170 at time 22ns
src_pe =           6, dst_pe =           7, direction = 10,  hop count = 001000, packet = 88670 at time 22ns
src_pe =          10, dst_pe =           6, direction = 01,  hop count = 000001, packet = 41a60 at time 22ns
src_pe =          14, dst_pe =           6, direction = 01,  hop count = 000011, packet = 43e60 at time 22ns
src_pe =           2, dst_pe =           7, direction = 10,  hop count = 001001, packet = 89270 at time 24ns
src_pe =           8, dst_pe =           6, direction = 11,  hop count = 011001, packet = d9860 at time 24ns
src_pe =          12, dst_pe =           6, direction = 11,  hop count = 011011, packet = dbc60 at time 24ns
src_pe =           0, dst_pe =           7, direction = 10,  hop count = 111001, packet = b9070 at time 24ns
src_pe =           7, dst_pe =           6, direction = 00,  hop count = 001000, packet = 08760 at time 24ns
src_pe =          11, dst_pe =           6, direction = 01,  hop count = 001001, packet = 49b60 at time 24ns
src_pe =          15, dst_pe =           6, direction = 01,  hop count = 001011, packet = 4bf60 at time 24ns
src_pe =           4, dst_pe =           7, direction = 10,  hop count = 111000, packet = b8470 at time 26ns
src_pe =           5, dst_pe =           8, direction = 00,  hop count = 001001, packet = 09580 at time 26ns
src_pe =           9, dst_pe =           7, direction = 11,  hop count = 011001, packet = d9970 at time 26ns
src_pe =          13, dst_pe =           7, direction = 11,  hop count = 011011, packet = dbd70 at time 26ns
src_pe =           1, dst_pe =           8, direction = 00,  hop count = 001011, packet = 0b180 at time 26ns
src_pe =           3, dst_pe =           7, direction = 00,  hop count = 000001, packet = 01370 at time 28ns
src_pe =           2, dst_pe =           8, direction = 00,  hop count = 011011, packet = 1b280 at time 28ns
src_pe =           8, dst_pe =           7, direction = 11,  hop count = 111001, packet = f9870 at time 28ns
src_pe =          12, dst_pe =           7, direction = 11,  hop count = 111011, packet = fbc70 at time 28ns
src_pe =           0, dst_pe =           8, direction = 00,  hop count = 000011, packet = 03080 at time 30ns
src_pe =           7, dst_pe =           8, direction = 00,  hop count = 111001, packet = 39780 at time 30ns
src_pe =          11, dst_pe =           7, direction = 01,  hop count = 000001, packet = 41b70 at time 30ns
src_pe =          15, dst_pe =           7, direction = 01,  hop count = 000011, packet = 43f70 at time 30ns
src_pe =           6, dst_pe =           8, direction = 00,  hop count = 011001, packet = 19680 at time 30ns
src_pe =          10, dst_pe =           7, direction = 11,  hop count = 001001, packet = c9a70 at time 30ns
src_pe =          14, dst_pe =           7, direction = 11,  hop count = 001011, packet = cbe70 at time 30ns
src_pe =           9, dst_pe =           8, direction = 00,  hop count = 001000, packet = 08980 at time 30ns
src_pe =          13, dst_pe =           8, direction = 01,  hop count = 001001, packet = 49d80 at time 30ns
src_pe =           5, dst_pe =           9, direction = 00,  hop count = 000001, packet = 01590 at time 32ns
src_pe =           4, dst_pe =           8, direction = 00,  hop count = 000001, packet = 01480 at time 32ns
src_pe =           2, dst_pe =           9, direction = 00,  hop count = 001011, packet = 0b290 at time 32ns
src_pe =           8, dst_pe =           9, direction = 10,  hop count = 001000, packet = 88890 at time 34ns
src_pe =          12, dst_pe =           8, direction = 01,  hop count = 000001, packet = 41c80 at time 34ns
src_pe =           3, dst_pe =           8, direction = 00,  hop count = 111011, packet = 3b380 at time 34ns
